,City,Lat,Lng,Temp Max,Humidity,Cloudness,windSpeed,country,date
290,Igarka,67.4667,86.5833,56.91,77,91,2.51,RU,1658863800
291,Davila,18.4726,120.5763,81.64,79,98,3.85,PH,1658863930
292,Maralal,1.0968,36.698,58.19,65,44,5.28,KE,1658864073
293,Port Blair,11.6667,92.75,81.25,82,100,3.36,IN,1658864073
294,Kavaratti,10.5669,72.642,80.98,78,100,17.38,IN,1658864074
295,Turaif,31.6725,38.6637,86.25,17,0,11.5,SA,1658864074
296,Chik,54.9928,82.4311,64.15,88,0,4.47,RU,1658864074
297,Nokaneng,-19.6667,22.2667,62.94,31,3,7.09,BW,1658863827
298,Pacifica,37.6138,-122.4869,81.73,77,20,11.5,US,1658864075
299,Jiehu,35.5428,118.455,71.56,96,83,4.79,CN,1658864075
300,Ponta do Sol,32.6667,-17.1,81.23,58,4,6.42,PT,1658864075
301,Sistranda,63.7256,8.834,53.56,82,100,22.12,NO,1658864076
302,Abu Kamal,34.4506,40.9171,92.28,13,0,7.61,SY,1658864076
303,Brawley,32.9787,-115.5303,100.65,39,0,9.22,US,1658863842
304,Chiang Rai,19.9167,99.9167,78.78,94,0,1.01,TH,1658864076
305,Arraial do Cabo,-22.9661,-42.0278,75.16,73,20,18.41,BR,1658864077
306,Vieste,41.8825,16.175,80.98,72,77,7.58,IT,1658864077
307,Honningsvåg,70.9821,25.9704,60.55,77,0,2.3,NO,1658863938
308,Frolishchi,56.4211,42.6533,66.2,86,8,4.7,RU,1658864077
309,Plettenberg Bay,-34.0527,23.3716,59.52,57,70,8.3,ZA,1658864078
310,San Fernando,15.0286,120.6898,80.33,91,100,1.34,PH,1658863979
311,Linjiang,41.8069,126.9078,67.91,97,63,1.36,CN,1658864078
312,Lunino,53.5918,45.2271,65.46,89,32,4.7,RU,1658864078
313,Lagoa,39.05,-27.9833,74.08,87,20,11.81,PT,1658863972
314,Dalvik,65.9702,-18.5286,57.13,75,100,3.56,IS,1658864079
315,George Town,5.4112,100.3354,82.33,90,20,5.99,MY,1658864079
316,Beloha,-25.1667,45.05,60.55,79,0,2.62,MG,1658864022
317,Aklavik,68.2191,-135.0107,66.11,44,99,16.37,CA,1658864080
318,Yaan,7.3833,8.5667,73.13,94,42,7.58,NG,1658864080
319,Piteå,65.3172,21.4794,60.89,98,96,8.16,SE,1658864080
320,Karratha,-20.7377,116.8463,67.91,28,6,8.32,AU,1658863980
321,Waipawa,-41.4122,175.5153,48.54,96,100,9.15,NZ,1658864081
322,Khvorostyanka,52.6096,48.9597,68.47,74,50,6.22,RU,1658864081
323,Havøysund,70.9963,24.6622,59.23,90,100,9.44,NO,1658864081
324,Gogrial,8.5332,28.1004,73.17,92,94,5.66,SS,1658864082
325,Port Macquarie,-31.4333,152.9167,48.88,66,0,10.85,AU,1658864082
326,Luganville,-15.5333,167.1667,78.13,86,25,6.4,VU,1658864082
327,Sechura,-5.5569,-80.8222,72.97,62,100,10.65,PE,1658863786
328,Puerto Escondido,15.85,-97.0667,88.63,58,40,5.75,MX,1658864083
329,Garmsār,35.2182,52.3409,89.13,36,0,11.03,IR,1658864083
330,Sorong,-0.8833,131.25,76.28,91,26,7.7,ID,1658864083
331,Bairiki Village,1.3292,172.9752,80.6,78,40,11.5,KI,1658864084
332,Marsaxlokk,35.8419,14.5431,84.07,69,20,9.22,MT,1658864084
333,Russell,32.3502,-85.1999,92.01,60,100,3.44,US,1658864084
334,São João da Barra,-21.6403,-41.0511,77.09,79,45,11.3,BR,1658863940
335,Kokopo,-4.352,152.2633,76.86,83,69,3.06,PG,1658864085
336,Kahului,20.8947,-156.47,84.22,70,20,20.71,US,1658863992
337,Hong Gai,20.956,107.0946,82.31,84,3,2.51,VN,1658864085
338,Nome,64.5011,-165.4064,44.67,77,100,21.85,US,1658864085
